project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,9,0,false,40,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-spring-boot/src/test/java/org/apache/logging/log4j/spring/boot/SpringProfileTest.java,log4j-spring-boot/src/test/java/org/apache/logging/log4j/spring/boot/SpringProfileTest.java,org.apache.logging.log4j.spring.boot.SpringProfileTest,SpringProfileTest,20356,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,1,0,false,32,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/script/AbstractScriptTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/script/AbstractScriptTest.java,org.apache.logging.log4j.core.script.AbstractScriptTest,AbstractScriptTest,28555,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,1,0,false,6,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/builders/BooleanHolder.java,log4j-1.2-api/src/main/java/org/apache/log4j/builders/BooleanHolder.java,org.apache.log4j.builders.BooleanHolder,BooleanHolder,36749,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,6,0,false,13,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/MethodLocationPatternConverter.java,log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/MethodLocationPatternConverter.java,org.apache.logging.log4j.core.pattern.MethodLocationPatternConverter,MethodLocationPatternConverter,44941,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,6,0,false,21,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-1.2-api/src/test/java/org/apache/log4j/builders/BuilderManagerTest.java,log4j-1.2-api/src/test/java/org/apache/log4j/builders/BuilderManagerTest.java,org.apache.log4j.builders.BuilderManagerTest,BuilderManagerTest,36761,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,13,0,false,54,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/SpringProfileArbiter.java,log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/SpringProfileArbiter.java,org.apache.logging.log4j.spring.boot.SpringProfileArbiter,SpringProfileArbiter,20380,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,8,0,false,32,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/NdcPatternConverterTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/NdcPatternConverterTest.java,org.apache.logging.log4j.core.pattern.NdcPatternConverterTest,NdcPatternConverterTest,44960,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,INTERFACE,21,0,0,false,8,0,0.00079958166463465,0,INTERFACE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PathCondition.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PathCondition.java,org.apache.logging.log4j.core.appender.rolling.action.PathCondition,PathCondition,12196,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,ANNOTATION,3,2,0,false,10,0,0.00011870821704091,0,ANNOTATION,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginLoggerContext.java,log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginLoggerContext.java,org.apache.logging.log4j.core.config.plugins.PluginLoggerContext,PluginLoggerContext,20390,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,ENUM,1,0,0,false,40,0,0.00011098143468628,0,ENUM,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/util/ExtensionLanguageMapping.java,log4j-core/src/main/java/org/apache/logging/log4j/core/util/ExtensionLanguageMapping.java,org.apache.logging.log4j.core.util.ExtensionLanguageMapping,ExtensionLanguageMapping,28584,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,3,2,0,false,89,0,0.000192028741429303,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/FileRenameAction.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/FileRenameAction.java,org.apache.logging.log4j.core.appender.rolling.action.FileRenameAction,FileRenameAction,12206,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,6,0,false,13,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/FileLocationPatternConverter.java,log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/FileLocationPatternConverter.java,org.apache.logging.log4j.core.pattern.FileLocationPatternConverter,FileLocationPatternConverter,44977,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,INTERFACE,8,0,0,false,3,0,0.00019697440499431,0,INTERFACE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/config/arbiters/Arbiter.java,log4j-core/src/main/java/org/apache/logging/log4j/core/config/arbiters/Arbiter.java,org.apache.logging.log4j.core.config.arbiters.Arbiter,Arbiter,20404,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,2,17,0,false,153,0,0.000109045882377206,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PosixViewAttributeAction.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PosixViewAttributeAction.java,org.apache.logging.log4j.core.appender.rolling.action.PosixViewAttributeAction,PosixViewAttributeAction,12219,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,1,5,0,false,107,0,0.00011837223302873,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-slf4j2-impl/src/main/java/org/apache/logging/slf4j/message/ThrowableConsumingMessageFactory.java,log4j-slf4j2-impl/src/main/java/org/apache/logging/slf4j/message/ThrowableConsumingMessageFactory.java,org.apache.logging.slf4j.message.ThrowableConsumingMessageFactory,ThrowableConsumingMessageFactory,28610,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,ABSTRACT_CLASS,0,11,0,false,85,0,0.0000976265182657058,0,ABSTRACT_CLASS,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/AbstractStyleNameConverter.java,log4j-core/src/main/java/org/apache/logging/log4j/core/pattern/AbstractStyleNameConverter.java,org.apache.logging.log4j.core.pattern.AbstractStyleNameConverter,AbstractStyleNameConverter,44996,unit
